"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_2","Наличие автомобильного транспорта всего",17131522
"Центральный фед.округ","3_2","Наличие легковых автомобилей",13683952
"Центральный фед.округ","3_2","Наличие грузовых автомобилей",1669289
"Центральный фед.округ","3_2","Наличие автобусов",193932
"Центральный фед.округ","3_2","Возбуждено дел об административных правонарушениях всего",81753014
"Центральный фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",4489771
"Центральный фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",468588
"Центральный фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",49059
"Центральный фед.округ","3_2","Количество нарушителей правил дорожного движения - водителей",3944751
"Центральный фед.округ","3_2","Количество нарушителей правил дорожного движения - пешеходов",456337
"Центральный фед.округ","3_2","Количество нарушителей правил дорожного движения - пассажиров",48493
"Центральный фед.округ","3_2","Количество нарушителей правил дорожного движения всего",74182700
"Белгородская область","3_2","Наличие автомобильного транспорта всего",687930
"Белгородская область","3_2","Наличие легковых автомобилей",534262
"Белгородская область","3_2","Наличие грузовых автомобилей",69213
"Белгородская область","3_2","Наличие автобусов",7343
"Белгородская область","3_2","Возбуждено дел об административных правонарушениях всего",1158030
"Белгородская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",141697
"Белгородская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",29511
"Белгородская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",2627
"Белгородская область","3_2","Количество нарушителей правил дорожного движения - водителей",94140
"Белгородская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",27021
"Белгородская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",2546
"Белгородская область","3_2","Количество нарушителей правил дорожного движения всего",385384
"Брянская область","3_2","Наличие автомобильного транспорта всего",342436
"Брянская область","3_2","Наличие легковых автомобилей",266906
"Брянская область","3_2","Наличие грузовых автомобилей",28550
"Брянская область","3_2","Наличие автобусов",6646
"Брянская область","3_2","Возбуждено дел об административных правонарушениях всего",1057647
"Брянская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",139813
"Брянская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",31228
"Брянская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",2754
"Брянская область","3_2","Количество нарушителей правил дорожного движения - водителей",121076
"Брянская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",30595
"Брянская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",2726
"Брянская область","3_2","Количество нарушителей правил дорожного движения всего",672281
"Владимирская область","3_2","Наличие автомобильного транспорта всего",550311
"Владимирская область","3_2","Наличие легковых автомобилей",430099
"Владимирская область","3_2","Наличие грузовых автомобилей",56202
"Владимирская область","3_2","Наличие автобусов",5042
"Владимирская область","3_2","Возбуждено дел об административных правонарушениях всего",1234763
"Владимирская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",174598
"Владимирская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",25412
"Владимирская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",1949
